ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          U-U1,          U-U2,       LE-LE11,       LE-LE22,       LE-LE12,         S-S11,         S-S22,         S-S12
E:/Wei/20200707-PINN/FE/Job-Rec.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,            0.,            0.,            0.,NA,NA,"",   42.5293E-39,  -7.12345E-39,   12.6834E-03,  -5.69807E-03,  -519.530E-09,   844.141E-03,  -145.622E-03,  -14.1728E-06
E:/Wei/20200707-PINN/FE/Job-Rec.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,   100.000E-03,            0.,            0.,NA,NA,"",   1.27648E-03,  -21.8511E-39,   12.6837E-03,  -5.69785E-03,  -1.03896E-06,   844.170E-03,  -145.597E-03,  -28.3430E-06
E:/Wei/20200707-PINN/FE/Job-Rec.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,   200.000E-03,            0.,            0.,NA,NA,"",   2.55303E-03,  -21.8398E-39,   12.6847E-03,  -5.69717E-03,  -2.07753E-06,   844.258E-03,  -145.523E-03,  -56.6756E-06
E:/Wei/20200707-PINN/FE/Job-Rec.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,   300.000E-03,            0.,            0.,NA,NA,"",   3.82970E-03,  -21.8209E-39,   12.6862E-03,  -5.69604E-03,  -3.11532E-06,   844.405E-03,  -145.400E-03,  -84.9874E-06
E:/Wei/20200707-PINN/FE/Job-Rec.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,   400.000E-03,            0.,            0.,NA,NA,"",   5.10657E-03,  -21.7944E-39,   12.6884E-03,  -5.69445E-03,  -4.15192E-06,   844.610E-03,  -145.228E-03,  -113.268E-06
E:/Wei/20200707-PINN/FE/Job-Rec.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,      500.E-03,            0.,            0.,NA,NA,"",   6.38369E-03,  -21.7603E-39,   12.6912E-03,  -5.69240E-03,  -5.18696E-06,   844.874E-03,  -145.005E-03,  -141.507E-06
E:/Wei/20200707-PINN/FE/Job-Rec.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,   600.000E-03,            0.,            0.,NA,NA,"",   7.66112E-03,  -21.7184E-39,   12.6947E-03,  -5.68989E-03,  -6.22002E-06,   845.196E-03,  -144.732E-03,  -169.694E-06
E:/Wei/20200707-PINN/FE/Job-Rec.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,   700.000E-03,            0.,            0.,NA,NA,"",   8.93893E-03,  -21.6687E-39,   12.6987E-03,  -5.68690E-03,  -7.25071E-06,   845.576E-03,  -144.409E-03,  -197.819E-06
E:/Wei/20200707-PINN/FE/Job-Rec.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,   800.000E-03,            0.,            0.,NA,NA,"",   10.2172E-03,  -21.6112E-39,   12.7034E-03,  -5.68343E-03,  -8.27864E-06,   846.015E-03,  -144.035E-03,  -225.870E-06
E:/Wei/20200707-PINN/FE/Job-Rec.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,   900.000E-03,            0.,            0.,NA,NA,"",   11.4959E-03,  -21.5457E-39,   12.7087E-03,  -5.67948E-03,  -9.30339E-06,   846.512E-03,  -143.609E-03,  -253.838E-06
