ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          U-U1,          U-U2,       LE-LE11,       LE-LE22,       LE-LE12,         S-S11,         S-S22,         S-S12
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,       9.80247,            0.,            0.,NA,NA,"",   175.222E-03,   83.0126E-39,   13.3339E-03,  -573.942E-06,  -7.73232E-06,       1.01243,   263.552E-03,  -241.171E-06
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,       9.60494,            0.,            0.,NA,NA,"",   172.563E-03,   69.9603E-39,   13.4014E-03,  -873.096E-06,  -18.4541E-06,       1.01071,   242.097E-03,  -529.163E-06
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,       9.40741,            0.,            0.,NA,NA,"",   169.894E-03,   64.1198E-39,   13.4459E-03,  -1.14022E-03,  -28.3236E-06,       1.00797,   222.576E-03,  -794.627E-06
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,       9.11111,            0.,            0.,NA,NA,"",   165.878E-03,   66.6815E-39,   13.4750E-03,  -1.49562E-03,  -44.1798E-06,       1.00200,   195.908E-03,  -1.22355E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,       8.91358,            0.,            0.,NA,NA,"",   163.198E-03,   47.9954E-39,   13.4732E-03,  -1.69104E-03,  -48.6097E-06,   997.358E-03,   180.835E-03,  -1.33947E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,       8.71605,            0.,            0.,NA,NA,"",   160.519E-03,   55.3563E-39,   13.4502E-03,  -1.87004E-03,  -45.8559E-06,   991.460E-03,   166.535E-03,  -1.25812E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,       8.51852,            0.,            0.,NA,NA,"",   157.847E-03,   48.3797E-39,   13.4128E-03,  -2.02034E-03,  -48.2902E-06,   985.113E-03,   154.110E-03,  -1.32253E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,       8.32099,            0.,            0.,NA,NA,"",   155.185E-03,   43.7725E-39,   13.3658E-03,  -2.15780E-03,  -54.5125E-06,   978.325E-03,   142.452E-03,  -1.49105E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,       8.12346,            0.,            0.,NA,NA,"",   152.533E-03,   41.5506E-39,   13.3019E-03,  -2.28008E-03,  -69.0683E-06,   970.587E-03,   131.571E-03,  -1.88567E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,       7.92593,            0.,            0.,NA,NA,"",   149.896E-03,   36.0845E-39,   13.2256E-03,  -2.38900E-03,  -80.9315E-06,   962.210E-03,   121.434E-03,  -2.20745E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,       7.72839,            0.,            0.,NA,NA,"",   147.276E-03,   34.2162E-39,   13.1354E-03,  -2.48404E-03,  -94.5281E-06,   953.076E-03,   112.040E-03,  -2.57500E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,       7.43210,            0.,            0.,NA,NA,"",   143.382E-03,   29.2046E-39,   12.9713E-03,  -2.60025E-03,  -103.922E-06,   937.775E-03,   99.3150E-03,  -2.82728E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            13,       7.23457,            0.,            0.,NA,NA,"",   140.816E-03,   29.9845E-39,   12.8393E-03,  -2.66244E-03,  -115.933E-06,   926.184E-03,   91.4850E-03,  -3.15213E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            14,       7.03704,            0.,            0.,NA,NA,"",   138.276E-03,   23.7859E-39,   12.7043E-03,  -2.71448E-03,  -119.453E-06,   914.599E-03,   84.3661E-03,  -3.24663E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            15,       6.83951,            0.,            0.,NA,NA,"",   135.763E-03,   25.8223E-39,   12.5442E-03,  -2.75375E-03,  -115.647E-06,   901.377E-03,   77.6512E-03,  -3.14032E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            16,       6.64198,            0.,            0.,NA,NA,"",   133.286E-03,   20.9285E-39,   12.3722E-03,  -2.78004E-03,  -119.000E-06,   887.544E-03,   71.6604E-03,  -3.23035E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            17,       6.44444,            0.,            0.,NA,NA,"",   130.845E-03,   19.8442E-39,   12.1857E-03,  -2.79916E-03,  -130.061E-06,   872.756E-03,   65.8859E-03,  -3.52938E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            18,       6.24691,            0.,            0.,NA,NA,"",   128.444E-03,   18.7293E-39,   11.9800E-03,  -2.80835E-03,  -143.630E-06,   856.717E-03,   60.4308E-03,  -3.89616E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            19,       5.95062,            0.,            0.,NA,NA,"",   124.924E-03,   15.6621E-39,   11.6326E-03,  -2.80290E-03,  -163.598E-06,   830.123E-03,   52.8341E-03,  -4.43543E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            20,       5.75309,            0.,            0.,NA,NA,"",   122.639E-03,   15.9382E-39,   11.3687E-03,  -2.78536E-03,  -188.692E-06,   810.225E-03,   48.0927E-03,  -5.11395E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            21,       5.55556,            0.,            0.,NA,NA,"",   120.413E-03,   12.3965E-39,   11.0674E-03,  -2.75693E-03,  -236.355E-06,   787.705E-03,   43.3274E-03,  -6.40447E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            22,       5.35802,            0.,            0.,NA,NA,"",   118.246E-03,   11.8030E-39,   10.7557E-03,  -2.72856E-03,  -233.388E-06,   764.389E-03,   38.3181E-03,  -6.32382E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            23,       5.16049,            0.,            0.,NA,NA,"",   116.132E-03,   10.0397E-39,   10.4139E-03,  -2.68341E-03,  -196.890E-06,   739.136E-03,   33.9027E-03,  -5.33112E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            24,       4.96296,            0.,            0.,NA,NA,"",   114.117E-03,   7.30057E-39,   10.0093E-03,  -2.62062E-03,  -295.217E-06,   709.464E-03,   29.3970E-03,  -7.99336E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            25,       4.76543,            0.,            0.,NA,NA,"",   112.174E-03,   6.01526E-39,   9.58144E-03,  -2.56262E-03,  -350.714E-06,   677.889E-03,   23.9857E-03,  -9.49411E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            26,       4.56790,            0.,            0.,NA,NA,"",   110.318E-03,   3.94917E-39,   9.10098E-03,  -2.49916E-03,  -378.291E-06,   642.396E-03,   17.7798E-03,  -10.2383E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            27,       4.27161,            0.,            0.,NA,NA,"",   107.720E-03,   829.183E-42,   8.30113E-03,  -2.40512E-03,  -370.094E-06,   583.040E-03,   6.55573E-03,  -10.0131E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            28,       4.07407,            0.,            0.,NA,NA,"",   106.130E-03,  -1.86347E-39,   7.69949E-03,  -2.34330E-03,  -380.767E-06,   538.187E-03,  -2.57261E-03,  -10.2997E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            29,       3.87654,            0.,            0.,NA,NA,"",   104.669E-03,  -5.39017E-39,   7.04944E-03,  -2.30319E-03,  -411.843E-06,   489.110E-03,  -14.4873E-03,  -11.1388E-03
