ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          U-U1,          U-U2,         S-S11,         S-S22,         S-S12
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,       4.94672,   291.196E-03,            0.,NA,NA,"",   164.410E-03,  -7.77353E-03,  -101.583E-03,      -1.08056,   248.810E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,       4.80565,   552.190E-03,            0.,NA,NA,"",   159.632E-03,  -15.0181E-03,  -37.2040E-03,  -326.223E-03,   134.065E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,       4.74495,   630.615E-03,            0.,NA,NA,"",   157.560E-03,  -17.2076E-03,   43.9950E-03,  -158.597E-03,   38.4437E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,       4.60920,   775.138E-03,            0.,NA,NA,"",   152.930E-03,  -21.2445E-03,   260.400E-03,   68.5405E-03,  -151.402E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,       4.45912,   904.767E-03,            0.,NA,NA,"",   147.831E-03,  -24.9425E-03,   508.637E-03,   179.506E-03,  -296.159E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,       4.29873,       1.02145,            0.,NA,NA,"",   142.322E-03,  -28.2780E-03,   761.946E-03,   216.361E-03,  -391.356E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,       4.13073,       1.12691,            0.,NA,NA,"",   136.766E-03,  -31.4273E-03,   961.675E-03,   240.600E-03,  -471.368E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,       3.95697,       1.22261,            0.,NA,NA,"",   130.932E-03,  -34.3307E-03,       1.14092,   243.771E-03,  -511.093E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,       3.77875,       1.30972,            0.,NA,NA,"",   124.952E-03,  -37.0154E-03,       1.30035,   227.231E-03,  -524.091E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,       3.50501,       1.42632,            0.,NA,NA,"",   115.820E-03,  -40.6800E-03,       1.49418,   195.385E-03,  -521.520E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,       3.31918,       1.49576,            0.,NA,NA,"",   109.649E-03,  -42.9271E-03,       1.60509,   174.754E-03,  -511.446E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,       3.13123,       1.55925,            0.,NA,NA,"",   103.409E-03,  -45.0170E-03,       1.70036,   154.411E-03,  -493.586E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            13,       2.94152,       1.61728,            0.,NA,NA,"",   97.1172E-03,  -46.9578E-03,       1.78246,   134.978E-03,  -470.641E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            14,       2.75034,       1.67024,            0.,NA,NA,"",   90.7807E-03,  -48.7584E-03,       1.85474,   117.005E-03,  -443.856E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            15,       2.55791,       1.71847,            0.,NA,NA,"",   84.4067E-03,  -50.4206E-03,       1.91796,   100.630E-03,  -414.764E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            16,       2.36442,       1.76225,            0.,NA,NA,"",   78.0069E-03,  -51.9480E-03,       1.97341,   85.0131E-03,  -385.336E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            17,       2.17002,       1.80182,            0.,NA,NA,"",   71.5882E-03,  -53.3462E-03,       2.02258,   71.1241E-03,  -355.448E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            18,       1.87701,       1.85372,            0.,NA,NA,"",   61.9204E-03,  -55.2112E-03,       2.08477,   53.8192E-03,  -309.248E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            19,       1.68088,       1.88360,            0.,NA,NA,"",   55.4500E-03,  -56.3014E-03,       2.11823,   44.6439E-03,  -277.203E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            20,       1.48424,       1.90985,            0.,NA,NA,"",   48.9600E-03,  -57.2663E-03,       2.14678,   36.7170E-03,  -244.675E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            21,       1.18848,       1.94268,            0.,NA,NA,"",   39.1934E-03,  -58.4836E-03,       2.18180,   26.3042E-03,  -195.321E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            22,   990.883E-03,       1.96033,            0.,NA,NA,"",   32.6774E-03,  -59.1421E-03,       2.20051,   20.3784E-03,  -162.761E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            23,   694.001E-03,       1.98064,            0.,NA,NA,"",   22.8968E-03,  -59.9111E-03,       2.21973,   16.1239E-03,  -113.479E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            24,   495.841E-03,       1.99014,            0.,NA,NA,"",   16.3353E-03,  -60.2630E-03,       2.23161,   10.5420E-03,  -78.3733E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            25,   198.381E-03,       1.99843,            0.,NA,NA,"",   6.54707E-03,  -60.5796E-03,       2.24526,   7.74327E-03,  -32.3904E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            26,            5.,            0.,            0.,NA,NA,"",   166.308E-03,  -77.9781E-39,  -75.8235E-03,      -1.55368,   68.3121E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            27,            0.,            2.,            0.,NA,NA,"",   114.474E-39,  -60.6430E-03,       2.24630,   8.05469E-03,  -8.30065E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            28,       9.80000,            0.,            0.,NA,NA,"",   209.362E-03,   158.566E-39,       1.01334,   524.129E-03,  -1.06037E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            29,       9.60000,            0.,            0.,NA,NA,"",   206.881E-03,   148.412E-39,       1.00701,   462.673E-03,  -2.00526E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            30,       9.40000,            0.,            0.,NA,NA,"",   204.374E-03,   135.074E-39,   997.109E-03,   408.056E-03,  -2.91583E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            31,       9.20000,            0.,            0.,NA,NA,"",   201.856E-03,   118.293E-39,   983.564E-03,   360.273E-03,  -3.37466E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            32,            9.,            0.,            0.,NA,NA,"",   199.342E-03,   102.694E-39,   967.765E-03,   317.592E-03,  -4.17157E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            33,       8.80000,            0.,            0.,NA,NA,"",   196.844E-03,   80.5965E-39,   949.044E-03,   278.290E-03,  -5.34598E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            34,           8.5,            0.,            0.,NA,NA,"",   193.145E-03,   63.7319E-39,   917.289E-03,   225.890E-03,  -6.04603E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            35,       8.30000,            0.,            0.,NA,NA,"",   190.719E-03,   63.2689E-39,   892.085E-03,   194.001E-03,  -5.77732E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            36,       8.10000,            0.,            0.,NA,NA,"",   188.348E-03,   51.9480E-39,   864.969E-03,   165.202E-03,  -6.26072E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            37,       7.90000,            0.,            0.,NA,NA,"",   186.039E-03,   43.0316E-39,   834.543E-03,   137.688E-03,  -7.98785E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            38,       7.70000,            0.,            0.,NA,NA,"",   183.797E-03,   35.6301E-39,   801.356E-03,   110.952E-03,  -9.56224E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            39,           7.5,            0.,            0.,NA,NA,"",   181.635E-03,   26.8663E-39,   763.963E-03,   84.5624E-03,  -11.5599E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            40,       7.30000,            0.,            0.,NA,NA,"",   179.559E-03,   18.5633E-39,   722.221E-03,   59.2296E-03,  -11.7345E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            41,       7.10000,            0.,            0.,NA,NA,"",   177.586E-03,   10.3956E-39,   676.697E-03,   33.1890E-03,  -12.2241E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            42,       6.90000,            0.,            0.,NA,NA,"",   175.732E-03,   1.72483E-39,   625.271E-03,   6.57368E-03,  -12.8700E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            43,       6.70000,            0.,            0.,NA,NA,"",   174.012E-03,  -4.45111E-39,   568.146E-03,  -22.0437E-03,  -14.6161E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            44,           6.5,            0.,            0.,NA,NA,"",   172.442E-03,  -18.0540E-39,   503.422E-03,  -54.6015E-03,  -17.0818E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            45,       6.30000,            0.,            0.,NA,NA,"",   171.041E-03,  -25.1770E-39,   429.759E-03,  -92.9607E-03,  -19.6871E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            46,            6.,            0.,            0.,NA,NA,"",   169.310E-03,  -49.9360E-39,   298.554E-03,  -169.155E-03,  -23.4410E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            47,       5.80000,            0.,            0.,NA,NA,"",   168.434E-03,  -75.7716E-39,   194.769E-03,  -244.826E-03,  -26.2359E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            48,       5.60000,            0.,            0.,NA,NA,"",   167.806E-03,  -103.603E-39,   76.4413E-03,  -358.382E-03,  -29.9614E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            49,       5.40000,            0.,            0.,NA,NA,"",   167.436E-03,  -158.518E-39,  -52.3596E-03,  -553.502E-03,  -31.4439E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            50,       5.20000,            0.,            0.,NA,NA,"",   167.164E-03,  -316.328E-39,  -136.910E-03,  -953.180E-03,  -7.99656E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            51,           10.,            0.,            0.,NA,NA,"",   211.798E-03,  -76.9656E-39,       1.01595,   575.102E-03,  -87.1400E-06
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            52,           10.,       9.80000,            0.,NA,NA,"",   126.632E-03,  -21.5726E-03,       1.01008,   135.064E-06,   9.16785E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            53,           10.,       9.60000,            0.,NA,NA,"",   128.441E-03,  -20.7014E-03,       1.01005,   87.0441E-06,   9.23202E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            54,           10.,       9.40000,            0.,NA,NA,"",   130.246E-03,  -19.8299E-03,       1.01003,  -408.606E-06,   9.34737E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            55,           10.,       9.20000,            0.,NA,NA,"",   132.047E-03,  -18.9563E-03,       1.01002,  -1.49017E-03,   9.47169E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            56,           10.,            9.,            0.,NA,NA,"",   133.842E-03,  -18.0787E-03,       1.00999,  -3.14701E-03,   9.61204E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            57,           10.,       8.80000,            0.,NA,NA,"",   135.632E-03,  -17.1954E-03,       1.00996,  -5.32501E-03,   9.78977E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            58,           10.,           8.5,            0.,NA,NA,"",   138.313E-03,  -15.8573E-03,       1.00996,  -9.12076E-03,   9.90896E-03
