,X,Y,Z,          U-U1,          U-U2,          U-U3,S11,S22,S12
2,50.0,50.0,0.0,   32.2299E-45,   32.2299E-45,           -0.,-2.11063e-05,-2.11064e-05,-3.75496e-05
5,49.0,50.0,0.0,   4.45473E-42,   8.35314E-42,            0.,-0.00103982,-0.00347146,-0.00121791
6,48.0,50.0,0.0,  -2.14118E-42,   612.367E-45,           -0.,-0.00355843,-0.0118969,-0.00183612
11,47.0,50.0,0.0,  -17.1014E-42,  -28.6467E-42,           -0.,-0.00664676,-0.0222295,-0.00188207
12,46.0,50.0,0.0,  -39.2812E-42,  -84.1956E-42,           -0.,-0.00964324,-0.0322296,-0.00168171
17,45.0,50.0,0.0,  -66.4552E-42,  -164.019E-42,           -0.,-0.0122837,-0.0410204,-0.00140243
20,44.0,50.0,0.0,  -96.4388E-42,  -262.409E-42,           -0.,-0.0144963,-0.0483731,-0.00115313
21,43.0,50.0,0.0,  -127.584E-42,  -372.808E-42,           -0.,-0.0163154,-0.0544124,-0.000980242
26,42.0,50.0,0.0,  -158.847E-42,  -489.489E-42,           -0.,-0.0178118,-0.0593794,-0.000891638
27,41.0,50.0,0.0,  -189.667E-42,  -608.168E-42,           -0.,-0.0190612,-0.0635286,-0.000875866
32,40.0,50.0,0.0,  -219.806E-42,  -725.989E-42,           -0.,-0.0201277,-0.0670736,-0.000912625
35,39.0,50.0,0.0,  -249.207E-42,  -841.250E-42,           -0.,-0.0210606,-0.0701774,-0.000982154
36,38.0,50.0,0.0,  -277.894E-42,  -953.054E-42,           -0.,-0.0218947,-0.0729553,-0.00106755
41,37.0,50.0,0.0,  -305.926E-42,  -1.06101E-39,           -0.,-0.0226541,-0.0754859,-0.00115652
42,36.0,50.0,0.0,  -333.349E-42,  -1.16504E-39,           -0.,-0.0233547,-0.0778216,-0.00124072
47,35.0,50.0,0.0,  -360.200E-42,  -1.26519E-39,           -0.,-0.0240069,-0.0799967,-0.00131516
50,34.0,50.0,0.0,  -386.496E-42,  -1.36160E-39,           -0.,-0.0246177,-0.082034,-0.00137727
51,33.0,50.0,0.0,  -412.241E-42,  -1.45441E-39,           -0.,-0.0251917,-0.0839488,-0.00142611
56,32.0,50.0,0.0,  -437.422E-42,  -1.54374E-39,           -0.,-0.0257323,-0.0857519,-0.0014618
57,31.0,50.0,0.0,  -462.028E-42,  -1.62973E-39,           -0.,-0.0262418,-0.0874516,-0.00148506
62,30.0,50.0,0.0,  -486.035E-42,  -1.71248E-39,           -0.,-0.0267223,-0.0890541,-0.00149694
65,29.0,50.0,0.0,  -509.421E-42,  -1.79206E-39,           -0.,-0.0271752,-0.0905647,-0.00149861
66,28.0,50.0,0.0,  -532.168E-42,  -1.86855E-39,           -0.,-0.0276019,-0.0919881,-0.00149125
71,27.0,50.0,0.0,  -554.253E-42,  -1.94200E-39,           -0.,-0.0280038,-0.0933284,-0.00147599
72,26.0,50.0,0.0,  -575.660E-42,  -2.01247E-39,           -0.,-0.0283819,-0.0945896,-0.00145384
77,25.0,50.0,0.0,  -596.374E-42,  -2.08000E-39,           -0.,-0.0287374,-0.0957751,-0.00142573
80,24.0,50.0,0.0,  -616.382E-42,  -2.14462E-39,           -0.,-0.0290713,-0.0968885,-0.00139246
81,23.0,50.0,0.0,  -635.675E-42,  -2.20639E-39,           -0.,-0.0293844,-0.0979329,-0.00135474
86,22.0,50.0,0.0,  -654.244E-42,  -2.26533E-39,           -0.,-0.0296779,-0.0989114,-0.00131318
87,21.0,50.0,0.0,  -672.084E-42,  -2.32147E-39,           -0.,-0.0299524,-0.0998269,-0.0012683
92,20.0,50.0,0.0,  -689.189E-42,  -2.37484E-39,           -0.,-0.0302089,-0.100682,-0.00122054
95,19.0,50.0,0.0,  -705.561E-42,  -2.42548E-39,           -0.,-0.030448,-0.10148,-0.0011703
96,18.0,50.0,0.0,  -721.196E-42,  -2.47342E-39,           -0.,-0.0306707,-0.102222,-0.0011179
101,17.0,50.0,0.0,  -736.095E-42,  -2.51869E-39,           -0.,-0.0308774,-0.102912,-0.00106362
102,16.0,50.0,0.0,  -750.258E-42,  -2.56130E-39,           -0.,-0.031069,-0.103551,-0.00100769
107,15.0,50.0,0.0,  -763.687E-42,  -2.60130E-39,           -0.,-0.031246,-0.104141,-0.000950326
110,14.0,50.0,0.0,  -776.384E-42,  -2.63870E-39,           -0.,-0.0314089,-0.104684,-0.000891702
111,13.0,50.0,0.0,  -788.351E-42,  -2.67354E-39,           -0.,-0.0315584,-0.105182,-0.000831969
116,12.0,50.0,0.0,  -799.589E-42,  -2.70583E-39,           -0.,-0.0316948,-0.105637,-0.000771261
117,11.0,50.0,0.0,  -810.100E-42,  -2.73559E-39,           -0.,-0.0318187,-0.106051,-0.000709695
122,10.0,50.0,0.0,  -819.890E-42,  -2.76285E-39,           -0.,-0.0319304,-0.106423,-0.000647375
125,9.0,50.0,0.0,  -828.956E-42,  -2.78763E-39,           -0.,-0.0320304,-0.106757,-0.000584394
126,8.0,50.0,0.0,  -837.301E-42,  -2.80994E-39,           -0.,-0.0321189,-0.107052,-0.000520836
131,7.0,50.0,0.0,  -844.926E-42,  -2.82979E-39,           -0.,-0.0321963,-0.10731,-0.000456779
