,X,Y,Z,          U-U1,          U-U2,          U-U3,S11,S22,S12
2,50.0,50.0,0.0,      -1.01048,   64.5166E-03,            0.,0.0418089,0.00687014,0.00486847
5,49.0,50.0,1.97102e-06,      -1.01052,   64.5045E-03,   4.40258E-03,0.0453491,0.00497514,0.00509935
6,48.0,50.0,1.07468e-05,      -1.01045,   64.4816E-03,   20.5823E-03,0.0486832,0.0025867,0.00385288
11,47.0,50.0,2.87642e-05,      -1.01008,   64.4606E-03,   50.2146E-03,0.0484185,0.00187247,0.00204924
12,46.0,50.0,5.6269899999999995e-05,      -1.00925,   64.4436E-03,   92.7236E-03,0.0479489,0.00146365,0.00124786
17,45.0,50.0,9.353479999999999e-05,      -1.00781,   64.4315E-03,   147.955E-03,0.0470866,0.00120568,0.000610076
20,44.0,50.0,0.000140508,      -1.00562,   64.4235E-03,   215.472E-03,0.0460521,0.00105354,0.00028496
21,43.0,50.0,0.00019710299999999999,      -1.00255,   64.4186E-03,   294.931E-03,0.0448118,0.000929451,5.27482e-05
26,42.0,50.0,0.000263122,  -998.489E-03,   64.4162E-03,   385.910E-03,0.0434057,0.00084584,-7.0228e-05
27,41.0,50.0,0.00033832400000000004,  -993.351E-03,   64.4152E-03,   487.996E-03,0.0418307,0.000770121,-0.000156037
32,40.0,50.0,0.00042241,  -987.056E-03,   64.4156E-03,   600.739E-03,0.0401,0.000709473,-0.000211328
35,39.0,50.0,0.000515037,  -979.547E-03,   64.4169E-03,   723.670E-03,0.0382171,0.000653042,-0.00026125
36,38.0,50.0,0.000615825,  -970.783E-03,   64.4193E-03,   856.292E-03,0.0361894,0.000602004,-0.000314578
41,37.0,50.0,0.000724354,  -960.741E-03,   64.4225E-03,   998.080E-03,0.0340221,0.000554489,-0.000379609
42,36.0,50.0,0.000840175,  -949.419E-03,   64.4270E-03,       1.14848,0.0317216,0.000508961,-0.00046245
47,35.0,50.0,0.000962805,  -936.832E-03,   64.4325E-03,       1.30693,0.0292943,0.000466338,-0.000564258
50,34.0,50.0,0.00109174,  -923.015E-03,   64.4393E-03,       1.47280,0.0267477,0.00042428,-0.000687022
51,33.0,50.0,0.00122643,  -908.021E-03,   64.4472E-03,       1.64547,0.0240906,0.000383899,-0.000827496
56,32.0,50.0,0.00136634,  -891.923E-03,   64.4561E-03,       1.82428,0.0213334,0.000342901,-0.000983093
57,31.0,50.0,0.00151088,  -874.811E-03,   64.4655E-03,       2.00853,0.018489,0.000301899,-0.00114701
62,30.0,50.0,0.00165945,  -856.792E-03,   64.4749E-03,       2.19752,0.0155728,0.000259091,-0.00131277
65,29.0,50.0,0.00181144,  -837.990E-03,   64.4839E-03,       2.39050,0.0126032,0.000214804,-0.00147134
66,28.0,50.0,0.00196624,  -818.541E-03,   64.4916E-03,       2.58670,0.00960101,0.000168035,-0.00161445
71,27.0,50.0,0.0021232,  -798.597E-03,   64.4977E-03,       2.78534,0.00658958,0.000119247,-0.00173339
72,26.0,50.0,0.00228168,  -778.317E-03,   64.5015E-03,       2.98561,0.00359337,6.83191e-05,-0.00182122
77,25.0,50.0,0.00244103,  -757.867E-03,   64.5028E-03,       3.18671,0.000636922,1.60214e-05,-0.00187248
80,24.0,50.0,0.00260061,  -737.416E-03,   64.5014E-03,       3.38781,-0.00225667,-3.7152e-05,-0.0018844
81,23.0,50.0,0.00275976,  -717.136E-03,   64.4975E-03,       3.58808,-0.00506723,-9.03382e-05,-0.0018567
86,22.0,50.0,0.00291783,  -697.191E-03,   64.4914E-03,       3.78672,-0.00777876,-0.000142942,-0.00179186
87,21.0,50.0,0.00307419,  -677.743E-03,   64.4836E-03,       3.98292,-0.0103802,-0.000194396,-0.00169462
92,20.0,50.0,0.00322819,  -658.940E-03,   64.4748E-03,       4.17590,-0.0128656,-0.000244446,-0.00157155
95,19.0,50.0,0.00337921,  -640.922E-03,   64.4656E-03,       4.36488,-0.0152338,-0.000293037,-0.00143025
96,18.0,50.0,0.00352663,  -623.811E-03,   64.4567E-03,       4.54912,-0.0174873,-0.000340365,-0.00127871
101,17.0,50.0,0.00366986,  -607.715E-03,   64.4484E-03,       4.72791,-0.0196313,-0.000386774,-0.00112451
102,16.0,50.0,0.00380832,  -592.724E-03,   64.4414E-03,       4.90056,-0.0216719,-0.000432691,-0.000974336
107,15.0,50.0,0.00394145,  -578.911E-03,   64.4357E-03,       5.06640,-0.0236148,-0.00047853,-0.000833487
110,14.0,50.0,0.0040687,  -566.330E-03,   64.4315E-03,       5.22480,-0.0254645,-0.000524607,-0.000705706
111,13.0,50.0,0.00418956,  -555.014E-03,   64.4288E-03,       5.37515,-0.0272232,-0.000571083,-0.000593141
116,12.0,50.0,0.00430355,  -544.979E-03,   64.4274E-03,       5.51688,-0.0288908,-0.000617918,-0.000496464
117,11.0,50.0,0.0044102,  -536.222E-03,   64.4271E-03,       5.64944,-0.0304643,-0.000664864,-0.000415119
122,10.0,50.0,0.00450908,  -528.718E-03,   64.4278E-03,       5.77232,-0.0319387,-0.000711471,-0.000347628
125,9.0,50.0,0.00459978,  -522.427E-03,   64.4290E-03,       5.88503,-0.0333073,-0.000757116,-0.000291929
126,8.0,50.0,0.00468196,  -517.288E-03,   64.4307E-03,       5.98714,-0.034562,-0.000801049,-0.000245686
131,7.0,50.0,0.00475526,  -513.223E-03,   64.4326E-03,       6.07823,-0.0356944,-0.000842442,-0.000206564
132,6.0,50.0,0.0048194,  -510.138E-03,   64.4345E-03,       6.15794,-0.0366958,-0.00088044,-0.000172431
137,5.0,50.0,0.00487412,  -507.924E-03,   64.4363E-03,       6.22595,-0.0375581,-0.000914211,-0.000141495
140,4.0,50.0,0.00491919,  -506.457E-03,   64.4378E-03,       6.28198,-0.0382741,-0.000942988,-0.000112372
141,3.0,50.0,0.00495444,  -505.603E-03,   64.4391E-03,       6.32580,-0.0388376,-0.000966103,-8.40975e-05
146,2.0,50.0,0.00497972,  -505.218E-03,   64.4400E-03,       6.35723,-0.0392437,-0.000983014,-5.60887e-05
147,1.0,50.0,0.00499492,  -505.150E-03,   64.4406E-03,       6.37614,-0.0394887,-0.000993323,-2.80739e-05
152,-7.065209999999999e-29,50.0,0.005,  -505.241E-03,   64.4408E-03,       6.38246,-0.0395706,-0.000996786,0.0
